,0
0,[UNK]
1,the
2,of
3,and
4,to
5,in
6,is
7,a
8,be
9,he
10,that
11,which
12,or
13,are
14,not
15,as
16,they
17,have
18,but
19,i
20,for
21,by
22,will
23,we
24,them
25,who
26,his
27,you
28,if
29,with
30,their
31,this
32,all
33,one
34,there
35,at
36,may
37,shall
38,has
39,what
40,him
41,from
42,any
43,other
44,when
45,no
46,man
47,said
48,an
49,would
50,on
51,was
52,good
53,should
54,do
55,more
56,state
57,then
58,only
59,our
60,let
61,than
62,men
63,must
64,true
65,us
66,been
67,such
68,athenian
69,these
70,say
71,were
72,can
73,like
74,it
75,first
76,cleinias
77,about
78,also
79,into
80,law
81,now
82,some
83,another
84,life
85,laws
86,so
87,same
88,own
89,very
90,soul
91,had
92,things
93,nature
94,many
95,those
96,plato
97,well
98,great
99,most
100,yes
101,how
102,out
103,two
104,time
105,whether
106,being
107,gods
108,way
109,make
110,every
111,justice
112,up
113,himself
114,ought
115,just
116,city
117,socrates
118,truth
119,me
120,upon
121,my
122,nor
123,mind
124,both
125,certainly
126,either
127,know
128,place
129,evil
130,knowledge
131,having
132,whole
133,take
134,yet
135,order
136,better
137,god
138,your
139,world
140,’
141,best
142,right
143,after
144,never
145,far
146,art
147,cannot
148,others
149,education
150,made
151,virtue
152,mean
153,against
154,children
155,because
156,whom
157,does
158,reason
159,without
160,her
161,see
162,under
163,human
164,use
165,power
166,citizens
167,therefore
168,body
169,part
170,again
171,sort
172,always
173,love
174,before
175,manner
176,three
177,over
178,much
179,give
180,pleasure
181,number
182,even
183,legislator
184,too
185,words
186,think
187,among
188,years
189,themselves
190,might
191,am
192,age
193,old
194,go
195,guardians
196,still
197,nothing
198,ever
199,come
200,phaedrus
201,case
202,second
203,rather
204,each
205,saying
206,replied
207,states
208,war
209,suppose
210,common
211,greatest
212,form
213,opinion
214,question
215,greater
216,women
217,between
218,view
219,neither
220,thus
221,class
222,quite
223,thing
224,able
225,principle
226,young
227,youth
228,philosophy
229,music
230,republic
231,stranger
232,third
233,s
234,less
235,country
236,away
237,care
238,called
239,could
240,anything
241,person
242,thought
243,given
244,found
245,work
246,tell
247,according
248,sense
249,property
250,general
251,while
252,speak
253,speaking
254,why
255,kind
256,honour
257,natural
258,further
259,little
260,next
261,injustice
262,bad
263,she
264,answer
265,idea
266,day
267,though
268,rest
269,death
270,present
271,mankind
272,desire
273,end
274,unjust
275,father
276,character
277,times
278,ask
279,public
280,persons
281,hand
282,consider
283,argument
284,proceed
285,find
286,did
287,become
288,possible
289,government
290,subject
291,book
292,although
293,megillus
294,matter
295,rule
296,pay
297,friends
298,friend
299,different
300,divine
301,matters
302,makes
303,people
304,enough
305,spirit
306,point
307,making
308,difficulty
309,down
310,pleasures
311,wisdom
312,modern
313,light
314,last
315,fear
316,until
317,often
318,word
319,son
320,want
321,together
322,once
323,lover
324,here
325,says
326,new
327,money
328,poets
329,done
330,allowed
331,certain
332,already
333,greek
334,higher
335,individual
336,principles
337,rulers
338,agree
339,similar
340,put
341,where
342,receive
343,name
344,through
345,seen
346,hear
347,slave
348,desires
349,interest
350,course
351,pain
352,believe
353,likely
354,magistrates
355,live
356,family
357,private
358,heaven
359,hardly
360,follow
361,earth
362,taken
363,judges
364,follows
365,above
366,truly
367,look
368,ideas
369,temperance
370,small
371,really
372,perhaps
373,meaning
374,arts
375,parents
376,opposite
377,ideal
378,existence
379,brought
380,long
381,land
382,courage
383,clearly
384,beginning
385,beauty
386,ancient
387,seems
388,perfect
389,need
390,however
391,call
392,imagine
393,few
394,glaucon
395,citizen
396,parts
397,appear
398,wise
399,indeed
400,equally
401,comes
402,philosopher
403,necessity
404,lot
405,understand
406,noble
407,means
408,master
409,kinds
410,experience
411,change
412,within
413,several
414,forms
415,year
416,judge
417,help
418,gymnastic
419,going
420,remember
421,seem
422,harmony
423,example
424,degree
425,sight
426,real
427,lives
428,least
429,five
430,cause
431,souls
432,something
433,four
434,longer
435,allow
436,wealth
437,cases
438,whose
439,show
440,rich
441,cities
442,learn
443,described
444,athens
445,slaves
446,penalty
447,necessary
448,natures
449,language
450,days
451,compare
452,bring
453,appears
454,animals
455,wrong
456,whereas
457,self
458,leave
459,worse
460,house
461,highest
462,sun
463,side
464,regard
465,homer
466,tyrant
467,marriage
468,hands
469,speech
470,motion
471,instead
472,inferior
473,goods
474,easily
475,doing
476,difference
477,relation
478,off
479,ignorance
480,happiness
481,full
482,temples
483,poetry
484,poet
485,science
486,rightly
487,health
488,happy
489,half
490,fair
491,enemies
492,ways
493,ten
494,single
495,regarded
496,ourselves
497,left
498,influence
499,heard
500,eyes
501,sometimes
502,return
503,probably
504,free
505,classes
506,set
507,latter
508,admit
509,military
510,philosophers
511,else
512,constitution
513,supposed
514,sake
515,required
516,observe
517,image
518,gives
